,sentimen,tweet
0,negatif,kata prabowo indonesia tidak harga bangsa asing berita palsu buat kuasa ya kan rockygerung
1,negatif,kata prabowo indonesia tidak harga bangsa asing berita palsu buat kuasa bahwasanya kan rockygerung
2,netral,batu langka tasbih jokowi hadiah habib luthfi harga mercy
3,netral,batu langka rosario jokowi hadiah habib luthfi harga mercy
4,netral,era jokowi ekonomi indonesia makin baik maju menang total debat
5,netral,era jokowi ekonomi indonesia makin baik maju menang genap debat
6,positif,sumatera selatan asi games dampak ekonomi langsung prediksi capai triliun indonesia maju jokowi hebat
7,positif,sumatera selatan asi games dampak ekonomi langsung prediksi capai triliun indonesia maju jokowi hebat
8,negatif,negara ngutang buat bngun infrastruktur udah dipake masyarakat terus masyarakat ngeluh negara ngutang negara ngutang utang bayar kalo negara dapet hasil hasil negara ya pajak
9,negatif,negara ngutang buat bngun infrastruktur udah dipake awam betulbetul masyarakat ngeluh negara ngutang negara ngutang utang bayar kalo negara dapet hasil aksi negara bahwasanya bergadai
10,netral,bisikin bapak jokowi cuma mikirin putar duit golong tentu esports bagi kecil sekian besar tentu tumbuh ekonomi indonesia bukan fundamental betul kata prabowo bahas sederhana mrpkan aspek fundamental ekonomi
11,netral,bisikin bapak jokowi cuma mikirin pusaran duit golong tentu esports bagi kecil sekian besar tentu berkembang ekonomi indonesia belum fundamental betul kata prabowo bahas sederhana mrpkan aspek fundamental ekonomi
12,positif,masa tenang ngoceh ajattp jokowi harga mati
13,positif,masa tenang ngoceh ajattp jokowi harga berakhir
14,positif,keji balas tps kerjasa ekonomi bilateral multilateral doa tps dengar suara hati keji balas tps
15,positif,keji balas tps kerjasa ekonomi bilateral multilateral doa tps dengar suara hati keji balas tps
16,netral,iya benar aa mantap kan pilih pimpin beri solusi jokowi bukan salah pimpin belum sbyudhoyono dismash sama mas bowo percuma koalisi klau mengantam teman koalisi pulang penting pilih pimpin rajin ibadah wajib ngaji jumat
17,netral,iya benar aa mantap kan pilih pimpin beri solusi jokowi bukan salah bimbing belum sbyudhoyono dismash sama emas bowo percuma koalisi klau mengantam teman koalisi pulang penting pilih pimpin rajin agama wajib ngaji jumat
18,negatif,prabowosandi sepakat tak ambil gaji negara sedang susah aceh
19,negatif,prabowosandi sepakat belum ambil gaji negara sedang susah aceh
20,positif,orang baik jelas islam baju putih pilih pimpin jelas banyak capai nah capai ekonomi lama perintah jokowi coblos yuk kerja
21,positif,orang baik jelas islam baju beruban pilih bimbing jelas banyak capai nah capai ekonomi jauh memeriksa jokowi coblos yuk kerja
22,positif,calon presiden jokowi jelas program kartu pra kerja beri insentif kurun waktu tentu bukan arti beri gaji cumacuma masyarakat belum hasil kyai maruf
23,positif,bakal daftarpresidenamerikaserikat jokowi jelas program kartu pra bekerja beri bonus kurun waktu tentu belum arti bahagi gaji cumacuma masyarakat belum hasil kyai maruf
24,negatif,tidak nginti lu to yunartowijaya si atabdillah toha tidak ngacaaa tidak usah ngajarin sandi soal ekonomi banding jokowi
25,negatif,belum nginti lu to yunartowijaya si atabdillah toha belum ngacaaa belum usah ngajarin sandi soal ekonomi banding jokowi
26,positif,jokowi perintah selalu upaya jaga imbang harga posisi normal tani produsen senang hasil kerja harga layak kyai maruf jokowi menang
27,positif,jokowi perintah jemah upaya jaga bertimbang harga kondisi normal tani produsen mudah aksi kerja harga layak kyai maruf jokowi menang
28,netral,terlalu berat nge bahas ekonomi angka cukup bahas mobil lejen aj
29,netral,terlalu berat nge bahas ekonomi angka banyak bahas mobil lejen aj
30,netral,mantulz sekali pakmengisi masa tenang umroh sama kel cinta istri anak ahirnya memang keluarga lah asset pulang harga sehat selalu pakdeee
31,netral,mantulz benar pakmengisi masa tenang umroh sama kel cinta istri anak ahirnya memang keluarga lah asset pulang harga sehat jemah pakdeee
32,positif,orang baik jelas islam baju putih penting sisi industri kreatif inovatif era industri global buat jokowi gerak ubah badan ekonomi kreatif bekraf jadi buah menteri coblos yuk kerja
33,positif,bendahidup baik jelas islam baju putih penting mengapit industri kreatif inovatif era industri global buat jokowi gerak ubah badan ekonomi kreatif bekraf begini buah menteri coblos yuk kerja
34,positif,pakta integritas prabowo sandi ulama libat ijtimak ulama sangat jelas pancasila nkri harga mati tidak khilafah khilafah hanya bual makhluk kolam keji brutal keji balas tps
35,positif,pakta integritas prabowo sandi alim libat ijtimak alim sangat jelas pancasila nkri harga mati belum khilafah khilafah hanya bual makhluk kolam keji brutal keji balas tps
36,netral,dengar bapak mbak vidya curup dulu beli lipstik purbasari harga ribu sekarang beli lipstik nyx tidak cukup ribu
37,netral,dengar bapak mbak vidya curup dulu beli lipstik purbasari harga ribu sekarang beli gincu niks belum cukup ribu
38,positif,prabowo sejak jadi tni puluh tahun tidak ambil gaji rupiah sandi sejak jadi wagub susah ya cari orang tidak ambil gaji hasil kerja negara
39,positif,prabowo sejak jadi tni puluh tahun tidak ambil gaji rupiah sandi sejak jadi wagub susah ya cari bendahidup tidak ambil gaji hasil kerja keadaan
40,netral,assalamualaikum tahu suara sangat harga upaya menang prabowo sandiuno rela suara karena ada jakarta ktp daerah moga suara tidak serta balas doa moga allah swt kabul amin ya rabb
41,netral,assalamualaikum tahu suara sangat harga anju menang prabowo sandiuno rela suara karena ada batavia ktp daerah moga suara tidak serta balas berdoa moga allah swt kabul amin bahwasanya rabb
42,negatif,pilih prabowosandiaga janji tak ambil gaji tahu orangorang superkaya mbok ya rendah hati jangan nyata kata konotasi angkuh
43,negatif,ambil prabowosandiaga janji tak ambil gaji tahu orangorang superkaya mbok bahwasanya rendah hati jangan nyata kata konotasi angkuh
44,negatif,prabowo apa bapak tidak harga rawan puasa tirakat munajad malam suntuk doa menang mohon balas tweet kontribusi ngopi rokok tirakatmujahadah tidak gagalayo semua tirakat munajadin
45,negatif,prabowo apa bapak tidak harga rawan puasa tirakat munajad malam suntuk doa larang bermohon balas tweet bantuan ngopi rokok tirakatmujahadah belum gagalayo semua tirakat munajadin
46,positif,prabowo sandi menang otomatis ikut sedekah kaum farkir miskin dhuafa lalu gaji berfua tidak ambil sedekah tusuk prabowo sandi
47,positif,prabowo sandi menang otomatis ikut sedekah kaum farkir miskin dhuafa balik gaji berfua tidak ambil sedekah tusuk prabowo sandi
48,positif,orang baik jelas islam baju putih percaya beri alam orang jokowi milik wakil alam bidang ekonomi coblos yuk ya
49,positif,bendahidup baik jelas islam baju beruban menelan beri alam bendahidup jokowi milik wakil alam bidang ekonomi coblos yuk ya
50,negatif,ummat islam waras cerdas senang beramalcoblos prabowo ikut andil amal gaji beliau tidak ambil untk amal
51,negatif,ummat islam waras cerdas mudah beramalcoblos prabowo ikut andil amal gaji beliau tidak ambil untk amal
52,positif,orang baik jelas islam baju putih hasil tidak bidang infrastruktur jokowi hasil baik ekonomi indonesia coblos yuk ya
53,positif,orang baik jelas islam baju putih hasil tidak bidang infrastruktur jokowi hasil baik ekonomi indonesia coblos yuk ya
54,negatif,model ngeles truk ketaker busa depan sandi ngomongin ekonomi makro congkak untung sandi nya sabar tidak kick balik pantesan menteri pintar mbodoni lha juragan kayak gin pekk nya keji balas tps prabowo sandiuno
55,negatif,model ngeles lori ketaker busa depan sandi ngomongin ekonomi makro aga asian sandi nya sabar tidak kick balik pantesan menteri bijak mbodoni lha juragan kayak gin pekk nya keji balas tps prabowo sandiuno
