,sentimen,tweet
0,negatif,kata prabowo indonesia tidak dihargai bangsa asing berita ini pasti palsu buatan penguasa ya kan rockygerung
1,negatif,bercakap prabowo indonesia belum dihargai bangsa asing berita ini jelas imitatif buatan penguasa ya kan rockygerung
2,netral,batuan langka tasbih jokowi hadiah dari habib luthfi seharga mercy
3,netral,batuan langka tasbih jokowi bakat dari habib luthfi seharga mercy
4,netral,di era jokowi ekonomi indonesia semakin baik maju lagi menang total debat
5,netral,di era jokowi ekonomi indonesia semakin baik kedepan lagi menang total debat
6,positif,bagi sumatera selatan asian games berdampak pada ekonomi langsung diprediksi mencapai triliun indonesia maju jokowi hebat
7,positif,bagi sumatera selatan asian games berdampak atas ekonomi langsung diprediksi berhasil triliun indonesia kedepan jokowi hebat
8,negatif,negara kita ngutang buat bngun infrastruktur udah dipake masyarakat terus masyarakatnya ngeluh karena negara ngutang setiap negara itu pasti ngutang utang bisa dibayar kalo negara dapet penghasilan penghasilan negara itu ya dari pajak
9,negatif,negara kita ngutang buat bngun asas udah dipake masyarakat terus masyarakatnya ngeluh karena negara ngutang setiap keadaan itu pasti ngutang utang bisa dibayar kalo keadaan dapet penghasilan penghasilan negara itu bahwasanya dari pajak
10,netral,bisikin bapak jokowi cuma mikirin perputaran duit di golongan tertentu esports hanya sebagian kecil dari sekian besar penentu pertumbuhan perekonomian indonesia bukan hal fundamental betul dikatakan prabowo walau dengan bahas sederhana tapi mrpkan aspek fundamental ekonomi
11,netral,bisikin bapak jokowi cuma mikirin perputaran duit atas golongan pasti esports cuma sebagian kecil dari sekian besar penentu kemajuan perekonomian indonesia belum hal fundamental benar dikatakan prabowo meskipun dengan bahas baru tapi mrpkan aspek asas ekonomi
12,positif,masa tenang masih ngoceh ajattp jokowi harga mati
13,positif,masa anteng baru ngoceh ajattp jokowi harga mati
14,positif,keji balas di tps kerjasa ekonomi bilateral multilateral kita doakan di tps sambil dengarkan suara hati keji balas di tps
15,positif,bengis balas atas tps kerjasa ekonomi bilateral multilateral america doakan di tps sambil dengarkan suara hati keji balas atas tps
16,netral,iya benar aa kita mantap kan pilihan ke pemimpin bisa memberi solusi jokowi bukan menyalahkan pemimpin sebelumnya sbyudhoyono dismash sama mas bowo percuma koalisi klau mengantam teman koalisi pulang penting pilih pemimpin rajin ibadah wajib bisa ngaji jumatan
17,netral,iya benar aa america kaku kan pilihan ke pemimpin bisa memberi solusi jokowi belum membebankan ketua sebelumnya sbyudhoyono dismash sama mas bowo percuma gabungan klau mengantam teman gabungan pulang penting pilih ketua cermat agama mesti berupaya ngaji jumatan
18,negatif,prabowosandi sepakat tak ambil gaji karena negara sedang susah aceh
19,negatif,prabowosandi sepakat tak ambil gaji karena negara cuma susah aceh
20,positif,orang baik jelas islamnya baju putih pilih pemimpin itu sudah jelas banyak pencapaiannya nah ini dia pencapaian ekonomi selama pemerintahan jokowi coblos yuk kerja pasti
21,positif,orang baik jelas islamnya baju beruban ambil pemimpin itu pernah jelas banyak pencapaiannya nah ini dia kejayaan ekonomi selama pemerintahan jokowi coblos yuk bekerja pasti
22,positif,calon presiden jokowi menjelaskan program kartu pra kerja akan memberikan insentif dalam kurun waktu tertentu bukan berarti memberikan gaji secara cumacuma bagi masyarakat belum berpenghasilan kyai maruf
23,positif,bakal daftarpresidenamerikaserikat jokowi membatasi program kartu pra bekerja akan memberikan insentif dalam abad waktu pasti belum berarti memberikan gaji secara cumacuma bagi awam belum berpenghasilan kyai maruf
24,negatif,tidak nginti lu to yunartowijaya dan si atabdillah toha juga tidak ngacaaa tidak usah ngajarin sandi soal ekonomi dibanding jokowi
25,negatif,belum nginti lu to yunartowijaya dan si atabdillah toha agak tidak ngacaaa belum usah ngajarin sandi bertanya ekonomi dibanding jokowi
26,positif,menurut jokowi pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal petani sebagai produsen senang karena hasil kerjanya dihargai secara layak kyai maruf ingin jokowi menang
27,positif,akur jokowi pemerintah jemah berupaya memelihara keseimbangan agar harga pada posisi normal pekebun kayak produsen senang karena aksi kerjanya dihargai secara layak kyai maruf beranganangan jokowi larang
28,netral,terlalu berat nge bahas ekonomi dengan angka cukup bahas mobil lejen aj
29,netral,terlalu berat nge bahas ekonomi dengan angka cukup bahas bergerak lejen aj
30,netral,mantulz sekali pakmengisi masa tenang dengan umroh bersama kel tercinta istri anak pada ahirnya memang keluarga lah asset pulang berharga sehat selalu pakdeee
31,netral,mantulz sekali pakmengisi masa tenang dengan umroh bersama kel kesayangan bini anak pada ahirnya cuma keluarga lah asset pulang berharga sehat selalu pakdeee
32,positif,orang baik jelas islamnya baju putih pentingnya sisi industri kreatif dan inovatif di era industri global membuat jokowi tergerak untuk mengubah badan ekonomi kreatif bekraf menjadi sebuah kementerian coblos yuk kerja pasti
33,positif,bendahidup baik jelas islamnya baju beruban pentingnya mengapit industri kreatif dan inovatif di era industri dunia membuat jokowi tergerak untuk malih badan ekonomi kreatif bekraf menjadi sebuah kementerian coblos yuk bekerja pasti
34,positif,dalam pakta integritas antara prabowo sandi dan ulama terlibat dalam ijtimak ulama sudah sangat jelas bahwa pancasila dan nkri itu adalah harga mati tidak ada itu khilafah khilafah hanyalah bualan para makhluk di kolam keji dan brutal keji balas di tps
35,positif,dalam pakta integritas antara prabowo sandi dan alim terlibat dalam ijtimak ulama pernah sangat jelas bahwa pancasila dan nkri itu adalah harga berakhir tidak ada itu khilafah khilafah hanyalah bualan para bendahidup atas kolam bengis dan brutal keji balas di tps
36,netral,saya dengar bapak mbak vidya dari curup dulu beli lipstik purbasari harga ribu tapi sekarang beli lipstik nyx tidak cukup ribu
37,netral,maine dengar bapak mbak vidya dari curup dulu beli gincu purbasari harga ribu meskipun ada beli lipstik nyx tidak cukup ribu
38,positif,prabowo sejak jadi tni puluhan tahun tidak dia ambil gajinya serupiah pun sandi sejak jadi wagub juga demikian susah ya cari orang seperti mereka tidak ambil gaji dari hasil mereka kerja untuk negara
39,positif,prabowo sejak jadi tni puluhan golongan belum dia ambil gajinya serupiah pun sandi sejak begini wagub juga demikian susah ya cari bendahidup seperti menjadwalkan tidak ambil gaji dari aksi menjadwalkan bekerja untuk keadaan
40,netral,assalamualaikum saya tahu suara itu sangat berharga dalam upaya memenangkan prabowo sandiuno saya harus merelakan suara dikarenakan berada di jakarta namun ktp daerah semoga suara saya tidak disertakan bisa terbalaskan dengan doa semoga allah swt mengabulkan itu amin ya rabb
41,netral,assalamualaikum saya tahu suara itu sangat berharga dalam anju memenangkan prabowo sandiuno maine harus bersetuju suara dikarenakan asas di batavia namun ktp daerah amat suara saya belum disertakan berupaya terbalaskan dengan doa semoga allah swt melepaskan itu amin bahwasanya rabb
42,negatif,jika terpilih prabowosandiaga janji tak ambil gaji kita tahu mereka orangorang superkaya mbok ya rendah hatilah jangan menyatakan kata berkonotasi angkuh
43,negatif,jika memilih prabowosandiaga janji belum ambil gaji america tahu menjadwalkan orangorang superkaya mbok bahwasanya rendah hatilah jangan keadaan kata berkonotasi angkuh
44,negatif,prabowo apa bapak tidak menghargai relawan puasa dan tirakatan munajad semalam suntuk berdoa untuk kemenangan mohon dibalas tweet dan kontribusi ngopi rokok dll mereka tirakatmujahadah jika tidak maka akan gagalayo semua tirakat munajadin
45,negatif,prabowo apa bapak tidak menghargai relawan puasa dan tirakatan munajad semalam suntuk berdoa untuk kemenangan mohon dibalas tweet dan bantuan ngopi rokok dll menjadwalkan tirakatmujahadah jika tidak maka akan gagalayo semua tirakat munajadin
46,positif,prabowo sandi menang otomatis kita ikut bersedekah bagi kaum farkir miskin dan dhuafa melalui gaji mereka berfua tidak akan diambil dan akan disedekahkan tusuk prabowo sandi
47,positif,prabowo sandi larang otomatis kita ikut bersedekah bagi kaum farkir miskin dan dhuafa berjalan gaji mereka berfua belum akan diambil dan akan disedekahkan tusuk prabowo sandi
48,positif,orang baik jelas islamnya baju putih kepercayaan hanya diberikan pada mereka berpengalaman seorang jokowi memiliki wakil berpengalaman dibidang ekonomi coblos yuk ya
49,positif,orang baik jelas islamnya baju beruban ideologi cuma diberikan atas mereka berpengalaman seorang jokowi memiliki wakil berpengalaman dibidang ekonomi coblos yuk bahwasanya
50,negatif,ummat islam waras dan cerdas pasti senang beramalcoblos prabowo anda ikut andil dalam beramal gaji beliau tidak diambil tapi untk amal
51,negatif,ummat islam waras dan awas jelas senang beramalcoblos prabowo anda ikut andil dalam beramal gaji beliau tidak diambil meskipun untk amal
52,positif,orang baik jelas islamnya baju putih keberhasilan tidak hanya dibidang infrastruktur jokowi juga berhasil memperbaiki ekonomi indonesia coblos yuk ya
53,positif,bendahidup baik jelas islamnya baju beruban keberhasilan tidak hanya dibidang asas jokowi juga berhasil membarui ekonomi indonesia coblos yuk bahwasanya
54,negatif,model ngeles petruk sudah ketaker berbusa didepan sandi ngomongin ekonomi makro dengan congkaknya untung sandi nya sabar tidak di kick balik pantesan menterinya pintar pada mbodoni lha juragannya kayak gini pekk nya keji balas di tps prabowo sandiuno
55,negatif,model ngeles petruk sudah ketaker berbuih didepan sandi ngomongin ekonomi makro dengan congkaknya asian sandi nya sabar belum atas kick balik pantesan menterinya pintar pada mbodoni lha juragannya kayak gini pekk nya bengis balas di tps prabowo sandiuno
56,positif,dengan memilih kita sudah bersodakoh karna prabowo sandi menyumbangkan gaji mereka untuk negarafakir miskin yatim piatu masjid jadikan prabowo sandi presiden dan wakil presiden republik indonesia
57,positif,dengan memilih kita pernah bersodakoh karna prabowo sandi berjasa gaji menjadwalkan untuk negarafakir miskin yatim piatu masjid jadikan prabowo sandi daftarpresidenamerikaserikat dan wakil presiden bangsa indonesia
58,positif,alhamdulillah capres mau sedekahkan gajinya untuk rakyat miskin disini kami korban gempa pasigala butuh bantuan bapak prabowo sandiuno karniilyas rockygerung sandi adil makmur
59,positif,alhamdulillah capres mau sedekahkan gajinya untuk awam miskin disini kami korban gempa pasigala beranganangan aids bapak prabowo sandiuno karniilyas rockygerung sandi adil makmur
60,netral,no donk mang dan sayah percaya semua saudara seperjuangan ikhlas hanya ingin negeri ini berubah jauh lebik baik lagi dari sekarang masyarakatnya damai tenang amankesejahteraan meningkat harga rendah stabil keji balas di tps keji balas di tps
61,netral,no donk mang dan sayah percaya semua persaudaraan seperjuangan ikhlas hanya beranganangan negeri ini berubah jauh lebik baik lagi dari ada masyarakatnya aman tenang amankesejahteraan meningkat harga rendah stabil keji balas atas tps keji balas di tps
62,negatif,div humaspolri gakan di ladenin sama bapak pulisi karna bapak pulisi di gaji sama jokowi pakai duit jokowi bukaan sama rakyat lapor nya nanti aja tunggu udah ganti presiden keji dan brutal keji dan brutal keji dan brut
63,negatif,div humaspolri gakan di ladenin sama bapak pulisi karna bapak pulisi di gaji sama jokowi pakai duit jokowi bukaan sama awam lapor nya kelak aja menahan udah ganti daftarpresidenamerikaserikat keji dan brutal keji dan brutal keji dan brut
64,negatif,baguslah pendukung jokowi tebang pohon bukan dengan golokgergaji tapi dengan ranting pohon itu sendiri jadi elektabilitas jokowi nyungseb bukan oleh lawan politiknya tapi oleh pendukung dari dalam sendiri tolol dipelihara dasar ebong
65,negatif,baguslah anjuran jokowi tebang pohon belum dengan golokgergaji tapi dengan cabang pohon itu sendiri begini elektabilitas jokowi nyungseb belum dengan lawan politiknya tapi dengan anjuran dari dalam belaka ahmak dipelihara dasar ebong
66,positif,memang tidak bisa kita menghendaki harga cabai sampai rp harga bawang sampai rp petaninya kasihan kata jokowi kyai maruf lagi untuk jokowi bono surfing
67,positif,memang belum bisa america hendak harga cabai kedatangan rp harga bawang kedatangan rp petaninya azab kata jokowi kyai maruf lagi untuk jokowi bono surfing
68,netral,presiden jokowi dan raja salman sepakat tingkatkan kerjasama ekonomi via apahabarcom
69,netral,presiden jokowi dan raja salman sepakat tingkatkan kerjasama ekonomi via apahabarcom
70,negatif,kelar hidupmu bisanya cuma harga mahal turunkan solusi kubu prabowo bahlull
71,negatif,kelar hidupmu bisanya cuma harga mahal turunkan solusi kubu prabowo bahlull
72,positif,tak akan terima gaji sebagai presiden dan wapres akan disumbangkan ke negara dan fakir miskinpertama dalam sejarah bangsa indonesia debat pilpres pernyataan penutup prabowosandiaga uno lewat you tube
73,positif,tak akan berlaku gaji sebagai daftarpresidenamerikaserikat dan wapres akan disumbangkan di negara dan bulus miskinpertama dalam sejarah bangsa indonesia debat pilpres alasan penutup prabowosandiaga uno lewat you tube
74,positif,kalau infrastructure di bangun pakai uang pribadi dia boleh lah tidak mendukung untuk tidak lewat sana tapi ini pakai pajak dari semua warga negara dan setiap lewat pun harus bayar
75,positif,kalau infrastructure di bangkit memakai uang pribadi dia berupaya lah belum mendukung untuk belum lambat sana meskipun ini pakai bergadai dari keseluruhan bermastautin negara dan masingmasing lewat pun harus bayar
76,positif,orang baik jelas islamnya baju putih ada beberapa penghargaan dianugerahkan kepadanya menjadi bukti bahwa jokowi adalah sosok pemimpin diakui integritasnya
77,positif,bendahidup baik jelas islamnya baju beruban ada beberapa kelegaan dianugerahkan kepadanya berbuah bukti bahwa jokowi adalah lembaga pemimpin diakui integritasnya
78,positif,bersatu bersama jokowikma orang baik jelas islamnya baju putih berbagai pencapaian telah berhasil tercapai khususnya pertumbuhan ekonomi di era pemerintahan jokowi jk sangat jauh meningkat
79,positif,bersatu bersama jokowikma orang baik jelas islamnya baju putih berbagai pencapaian telah berhasil berjaya khususnya kemajuan ekonomi di era pemerintahan jokowi jk sangat jauh meningkat
80,netral,orang luar negeri sangat menghargai prestasi sudah dilakukan jokowi tetapi dinegaranya sendiri banyak mencaci
81,netral,orang luar beradab sangat menghargai prestasi pernah dilakukan jokowi tetapi dinegaranya belaka banyak berkaokkaok
82,netral,maaf bapak rakyat tidak butuh pelukan rakyat butuh harga sembako murah listrik tarif turunkan butuh lap kerja bukan janji saja keji dan brutal
83,netral,maaf bapak awam tidak butuh pelukan rakyat beranganangan harga sembako banyak listrik cukai turunkan beranganangan lap kerja bukan janji baru bengis dan brutal
84,netral,thrones winter
85,netral,thrones winter
86,positif,vidia amanda april pilih jokowikma orang baik jelas islamnya baju putih dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan namun di zaman bapak jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan
87,positif,vidia amanda april ambil jokowikma bendahidup baik jelas islamnya baju beruban dulu sekadar ada kemajuan ekonomi tanpa pemerataan dulu atas kala bapak jokowi belum cuma pertumbuhan ekonomi tapi juga pemerataan pembangunan
88,netral,jokowi dan raja salman sepakat tingkatkan kerja sama ekonomi indonesia maju
89,netral,jokowi dan raja salman sepakat tingkatkan kerja sama ekonomi indonesia maju
90,negatif,meskipun aku di surga mungkin aku tak bahagia bahagiaku tak sempurna bila itu tanpamu gandeng tangan prabowo baru jadi ustad sudah yakin masuk surga ckckckck salah milih guru ngaji aku pengajian
91,negatif,meskipun aku di surga mungkin aku belum bahagia bahagiaku tak sempurna bila itu tanpamu gandeng tangan prabowo baru begini ustad sudah yakin masuk surga ckckckck cacat milih guru ngaji aku pengajian
92,negatif,buat anggota kpuid anda tidak layak digaji sebaiknya rasa malu diutamakan daripada isi perut gede bacot minim torehan prestasi cc jokowi
93,negatif,berbuat anggota kpuid anda tidak berdaya digaji bijak mafhum malu diutamakan daripada isi perut besar bacot minim belahan prestasi cc jokowi
94,netral,gasah mengejek program apa jokowi karena program ini juga tidak asal pasti sudah dipikirkan mateng seperti program kis dulu mari kita hargai jangan saling menghujat
95,netral,gasah ejek program apa jokowi karena program ini agak belum asal pasti sudah dipikirkan mateng kayak program kis dulu mari kita hargai jangan saling menghujat
96,netral,monggo silahkanitu hak andahargai juga kami inginkan perubahan lebih baik
97,netral,monggo silahkanitu hak andahargai juga kami inginkan perubahan lebih baik
