,sentimen,tweet
320,netral,sederet menteri kabinet kerja daftarpresidenamerikaserikat jokowi dan wakil daftarpresidenamerikaserikat jusuf kalla atas bidang ekonomi berlaku penghargaan internasional dalam kurun kala kurang dari empat tahun kabinet berjalan orang baik jelas islamnya baju beruban
300,netral,buat ciwiciwi mau harga skincare turun tusuk prabowo sandi
844,netral,jokowi pertumbuhan ekonomi harus disyukuri jangan kufur nikmat
476,netral,coba lu ngmng gini waktu jaman lulung dan mtopik ngomong-ngomong fungsi dprd itu mitra dalam bidang legislatif tapi juga bisa jadi pengawas gubernur dalam menjalankan anggaran aku sebagai pembayar pajak lbh seneng anggota dprd garang kok
505,netral,boleh ketemuan ya kita berapa nomor whatsapp ente saya di pebayuran bekasi petani di pebayuran tidak ada masalah harga fluktuatif normal kisaran sampai per kilo untuk gabah kering
1716,negatif,wkwkwkwkwkwkurang sadar alias siuman lama karena harga mahal barangkali hny dalam mimpinya realnya baru akan berakhir masa jabatannya dia baru nyadar dan baru bangun dari tidur lamanya
265,netral,jokowi dan raja salman sepakat tingkatkan kerja sama ekonomi via mediaindonesia
1311,negatif,menjelma seperti donald trump buat omong kosong baru yaitu tak mau terima gaji
459,netral,sebelumnya harga bbm di papua senilai rp liter sungguh drastik di era jokowi mampu menekan harga premium seharga rpliter setara dengan harga bbm di seantero nusantara orangbaik jelas islamnya baju putih
1399,negatif,ketika petinggi partai demokrat menerima kenyataan hinaan prabowo terhadap sby itu pertanda sby sudah tidak di hargai oleh kadernya dan marwah partai demokrat jatuh tersungkur dan mencederai perjuangan demokrat
646,netral,loh coba ulang lagi debatnya bapak jokowi kan ingin tau bagaimana pandangan bapak prabowo terhadap pengembangan ekonomi digital dalam hal ini ya esport emang ada dibilang mana prioritas mana engga
1284,negatif,ucapan ataupun pernyataan bowo mengenai kesalahan orientasi ekonomi negeri ini kemudian ditujukan ke presiden sebelum jokowi sungguh membuat luka tersendiri untuk demokrat salahkan sby
1731,positif,pengabdian ke negara prabowosandiuno dengan keikhlasan mereka berdua lillahitaala ikhlas tanpa harus ngomong ikhlas untuk mengabdi tanpa menerima gaji sepersenpun untuk menjadi presiden dan wakil presiden tetesan air mata kebahagiaan seluruh indonesia
1507,netral,tolong bilang jokowi tidak ngerti ekonomi tonton dulu video ini dan kalau kalian benar ngerti ekonomi bantah tu si ahli ekonom menang total beranggarlidah
1433,netral,jokowi jagokan kawasan khusus ekonomi pariwisata
1124,netral,bapak prabowo berkilah bahwa dia dorongan bukanlah jokowi membuat perekonomian indonesia cacat arah justru pemimpin sebelumnya siapa sby dong jelasnya salahkan sby
119,netral,saya hargai pendirian anda bangtp lgsg unfol kosong saya tau mslah sblm ini rasanya aneh agak banglagian berbuat tweet mention brsangkutan juga kan jelas ada dorongan baik juga buat mengingatkan apa belum bahkan kontraproduktif kalau lgsg diunfol
18,netral,maine dengar bapak mbak vidya dari curup dulu beli gincu purbasari harga ribu meskipun ada beli lipstik nyx tidak cukup ribu
1560,negatif,jokowi berpikir visi kedepan smentara lawan memiliki pemikiran mundur tahun kblkangtdk mau impor tidak prioritas ekonomi digitl
1698,positif,menonjol harga bahan flora murah terjangkau usaha lancar hidup anteng tahun saya pilih prabowo ada ambil prabowo sandi juga
638,negatif,bapak jokowi terhormat april kan libur nasional kepres nya kan begitutp di tempat kerja saya masih masuk kerjakalau tidak masuk kerja pada april akan di potong gaji kitatolonglah tindak tegas bagi pengusaha tidak taat kepresdan tolong lindungi hak kita bapak
1382,positif,jokowi optimis indonesia masuk empat besar ekonomi dunia pada
1708,negatif,katanya tadi tidak akan menerima gaji jika diamanahkan menjabat kenapa tidak singkron dengan hal dilakukan diwaktu kompanye malah menerima uang dari emakemak kata bapak prabowo dan sandiuno tidak memiliki kecukupan ekonomi dan finansial akan kah termasuk
1173,negatif,bercakap wowo kekeliruan arah ekonomi mengakibatkan terjadinya deindustrialisasi adlah salah semua pihak termasuk presidenpresiden berasal jokowi lah ekonomi indonesia kala bapak jokowi baikbaik aja tuh bahkan ngehoaks dengan menyalahkan daftarpresidenamerikaserikat terdahulu salahkan sby
1814,netral,bapak jokowi malih cara beranggapan ekonomi dulu keseluruhan orang terhubung sehingga indonesia menjadi lebih menghasilkan dan efisien putih jokowi
719,negatif,ehhh buseh belum anak lulusan ekonomi mana paham kalau dia bilang berupaya tapi faktanya jkw menang total debat
832,negatif,dan perut rakyat tidak bisa di isi dengan kartu semata ekonomi itu belum sekedar meroket ape lagi tekor
1718,netral,prabowosandi sepakat tidak akan mengambil gaji jika terpilih nanti berjanji akan menghormati ulama dan mematuhi fakta integritas bersama ijtima ulama mantap pilih prabowo sandi
1784,negatif,th sejak bimbingan jokowi ekonomi btam terpurukburuh menderita cari bekerja
1603,netral,perlu kita ingat bahwa dasar negara kita pancasila nkri bhinneka tunggal ika uud sudah final harga mati dan tidak bisa diganggu gugat kata jokowi menang total debat
284,negatif,ada bukti harga barang atas sana berjatuhan karena tol
509,netral,dibukuny anggitan prabowo belum impor dan berutang luar negeri joran meningkat rasio bergadai menutup kran kebocoran apbn industrialisasi meningkatkn gaji pns dan penegak hukum untuk mengurangi korupsi memperkuat kpk dsb
1195,negatif,pertanyaan beranggarlidah dari esport dengan bapak jokowi di jawabnya tentang harga sembako oleh wowo legends kebelakang pilpres dilanjutkan lagi
467,positif,di saat tak berotak memikirkan mobile legend di satu sisi orang cerdas memikirkan ekonomi kerakyatan keji dan brutal
1443,netral,gaji tidak di ambil tapi di ambil uang negara dan masyarakat
829,positif,nyo buka youtube dngerin sekali lagi ditanyain bapak jokowi jadi pembahasan awal kan bukan masalah e sport tapi pokok utamanya adl ekonomi digital dan mobile legend cuma jadi salah satu contoh
161,netral,daftarpresidenamerikaserikat jokowi dan beraja salman sehati tingkatkan kerja sama ekonomi news
1656,netral,komitmen prabowo sandi belum beroleh gaji begitu terpilih begini presiden ini berjumpa bahwa prabowo sandi ikhlas untuk negri ini belum untuk memperkaya diri sendiri
1586,netral,bung bowo menyebut kesalahan arah ekonomi indonesia tidak semata salah jokowi tetapi juga presidenpresiden sebelumnya makanya coblos saja salahkan sby
435,netral,paguyuban suamisuami gaji paspasan mengucapkan kasih istriku karena tidak pernah nuntut buat beliin tas hermes jokowi
227,netral,prabowosandi kembali tegaskan tidak akan ambil gaji bila terpilih
591,negatif,prabowo bilang indonesia akan bubar pertumbuhan ekonomi ndasmu bagaimana bapak tanggapannya the arie air theopieter fadjroe l salahkan sby kasih istriku
16,positif,bendahidup baik jelas islamnya baju beruban pentingnya mengapit industri kreatif dan inovatif di era industri dunia membuat jokowi tergerak untuk malih badan ekonomi kreatif bekraf menjadi sebuah kementerian coblos yuk bekerja pasti
1127,positif,jangan cacat pilih bahwasanya ayo datang ke tps tgl april prabowo sandi presidennya pks partainya president jamuan pks kenapa harus pks pks akan melindungi alim sim seumur hidup bergadai motor dihapus bergadai pph untuk penghasilan dibawah jt atas hapus
692,positif,tidak boleh suuzon mba hehe hargai dong hasil kerja bapak jokowi sudah membangun negri ini kalau benci emang jadi susah ya hargai kerja keras orang lain
701,negatif,bakda ambrol berhasil kemajuan ekonomi sebesar bapak ada membela belum gangguan ya bila ceo membuat target kemajuan persen meskipun cuma berjaya ya makan maaf dongbukan minta dua periode
1066,negatif,anak disuruh main calon pekerja dikasih kartu pengangguran dikasih gaji tka dikasih kerja mantull
